base_date,end_date,horizon_d,metric_type,key,n,value,se,ci_lo,ci_hi,p_value
20260116,20260605,90,rank_ic,base_score,1612,0.0384,,-0.0104,0.0871,0.1229
20260116,20260605,90,quantile,top_minus_bottom,1612,-0.0402,0.0500,-0.1382,0.0578,
20260116,20260605,90,signal_bucket,BUY,230,0.1168,0.0340,,,0.4957
20260116,20260605,90,signal_bucket,HOLD,234,0.1606,0.0471,,,0.4316
20260116,20260605,90,signal_bucket,WATCH,273,0.1543,0.0289,,,0.5018
20260116,20260605,90,signal_bucket,AVOID,875,0.1603,0.0213,,,0.4571
20260116,20260605,90,long_short,BUY_minus_AVOID,,-0.0435,,,,0.3356
20260116,20260421,60,rank_ic,base_score,1610,0.0674,,0.0186,0.1159,0.0068
20260116,20260421,60,quantile,top_minus_bottom,1610,-0.0094,0.0276,-0.0635,0.0447,
20260116,20260421,60,signal_bucket,BUY,230,0.0757,0.0174,,,0.5391
20260116,20260421,60,signal_bucket,HOLD,234,0.0918,0.0231,,,0.5043
20260116,20260421,60,signal_bucket,WATCH,272,0.0778,0.0159,,,0.5294
20260116,20260421,60,signal_bucket,AVOID,874,0.0780,0.0116,,,0.4725
20260116,20260421,60,long_short,BUY_minus_AVOID,,-0.0023,,,,0.9278
20260116,20260309,30,rank_ic,base_score,1609,0.0637,,0.0148,0.1122,0.0106
20260116,20260309,30,quantile,top_minus_bottom,1609,0.0033,0.0173,-0.0305,0.0371,
20260116,20260309,30,signal_bucket,BUY,229,0.0533,0.0120,,,0.5502
20260116,20260309,30,signal_bucket,HOLD,234,0.0417,0.0138,,,0.4786
20260116,20260309,30,signal_bucket,WATCH,273,0.0427,0.0117,,,0.5348
20260116,20260309,30,signal_bucket,AVOID,873,0.0381,0.0082,,,0.4605
20260116,20260309,30,long_short,BUY_minus_AVOID,,0.0152,,,,0.3698
20260309,20260605,60,rank_ic,base_score,1620,-0.0491,,-0.0976,-0.0004,0.0481
20260309,20260605,60,quantile,top_minus_bottom,1620,-0.0894,0.0360,-0.1599,-0.0188,
20260309,20260605,60,signal_bucket,BUY,232,0.0155,0.0212,,,0.3491
20260309,20260605,60,signal_bucket,HOLD,237,0.0647,0.0260,,,0.4177
20260309,20260605,60,signal_bucket,WATCH,278,0.1113,0.0292,,,0.4388
20260309,20260605,60,signal_bucket,AVOID,873,0.1263,0.0167,,,0.4777
20260309,20260605,60,long_short,BUY_minus_AVOID,,-0.1108,,,,0.0015
20260309,20260421,30,rank_ic,base_score,1617,0.0330,,-0.0158,0.0816,0.1850
20260309,20260421,30,quantile,top_minus_bottom,1617,-0.0103,0.0158,-0.0412,0.0207,
20260309,20260421,30,signal_bucket,BUY,231,0.0229,0.0103,,,0.4286
20260309,20260421,30,signal_bucket,HOLD,237,0.0406,0.0119,,,0.4599
20260309,20260421,30,signal_bucket,WATCH,276,0.0360,0.0108,,,0.4601
20260309,20260421,30,signal_bucket,AVOID,873,0.0374,0.0071,,,0.4353
20260309,20260421,30,long_short,BUY_minus_AVOID,,-0.0145,,,,0.3209
20260421,20260605,30,rank_ic,base_score,1627,-0.1534,,-0.2005,-0.1056,0.0000
20260421,20260605,30,quantile,top_minus_bottom,1627,-0.1573,0.0244,-0.2052,-0.1094,
20260421,20260605,30,signal_bucket,BUY,231,-0.0325,0.0123,,,0.2900
20260421,20260605,30,signal_bucket,HOLD,226,-0.0064,0.0143,,,0.3451
20260421,20260605,30,signal_bucket,WATCH,287,0.0259,0.0148,,,0.4146
20260421,20260605,30,signal_bucket,AVOID,883,0.0907,0.0117,,,0.5006
20260421,20260605,30,long_short,BUY_minus_AVOID,,-0.1231,,,,0.0001
