sdk_method,label_cn,mvp20_capability,status,notes
get_market_state,市场交易状态,,operational,运行时状态查询
get_global_state,全局状态,,operational,守护进程诊断
get_security_info,标的基本信息,company_profile,covered,Round 4 加入
get_stock_basicinfo,股票基础信息,company_profile,covered,Round 4 加入
get_security_filter,选股器,,uncovered,未来若放开 universe 可用
get_market_snapshot,实时快照,price_intraday,covered,含买卖盘最新价
request_history_kline,历史 K 线,price_daily,covered,
get_history_kl,历史 K 线 (旧),price_daily,covered,
get_cur_kline,当前 K 线,price_intraday,covered,
get_rt_data,分时数据,price_intraday,covered,
get_rt_ticker,实时逐笔,tick_trades,covered,Futu 独家粒度
get_ticker,逐笔成交,tick_trades,covered,
get_order_book,订单簿 / L2,quote_l2,covered,Futu 独家
get_broker_queue,经纪商队列,broker_queue_hk,covered,HK 独家
get_capital_flow,个股资金流,capital_flow,covered,
get_capital_distribution,主力大单分布,capital_flow,covered,
get_owner_plate,个股所属板块,sector_constituents,covered,
get_plate_security,板块成份,sector_constituents,covered,
get_plate_list,板块列表,sector_constituents,covered,
get_warrant,窝轮,warrants,covered,HK 独家
get_reference,正股 / CBBC,warrants,covered,HK 独家
get_option_chain,期权链,options_chain,covered,
get_option_expiration_date,期权到期日,options_chain,covered,
get_option_condition_filter,期权条件筛选,options_chain,covered,
get_holding_change_list,持仓变动,institutional_holdings,covered,
get_ipo_list,IPO 列表,ipo_calendar,covered,
get_future_info,期货合约信息,index_futures,covered,
get_future_kline,期货 K 线,index_futures,covered,
subscribe,订阅推送,realtime_push,covered,Futu 独家 WebSocket-style
unsubscribe,取消订阅,realtime_push,covered,
set_handler,注册推送回调,realtime_push,covered,
query_subscription,查询订阅,,operational,运行时配额
request_history_kline_quota,历史 K 线配额,,operational,账户配额
get_rt_data_quota,实时数据配额,,operational,账户配额
request_trading_days,交易日历,trading_calendar,covered,
place_order,下单,,out_of_scope,mvp20 read-only
modify_order,改单,,out_of_scope,mvp20 read-only
cancel_order,撤单,,out_of_scope,mvp20 read-only
get_acc_list,账户列表,,out_of_scope,mvp20 read-only
get_position_list,持仓列表,,out_of_scope,mvp20 read-only
get_history_order_list,历史订单,,out_of_scope,mvp20 read-only
get_order_status,订单状态,,out_of_scope,mvp20 read-only
