doc_api,label,level1,level2,mvp20_capability,status,notes
etf_share_size,ETF份额规模,ETF专题,ETF份额规模,,out_of_scope,out_of_scope_etfs_referenced_only
etf_index,ETF基准指数,ETF专题,ETF基准指数,,out_of_scope,out_of_scope_etfs_referenced_only
etf_basic,ETF基本信息,ETF专题,ETF基本信息,,out_of_scope,out_of_scope_etfs_referenced_only
fund_daily,ETF日线行情,ETF专题,ETF日线行情,,out_of_scope,out_of_scope_etfs_referenced_only
repo_daily,债券回购日行情,债券专题,债券回购日行情,,out_of_scope,out_of_scope_bonds_not_in_universe
eco_cal,全球财经事件,债券专题,全球财经事件,,out_of_scope,out_of_scope_bonds_not_in_universe
cb_basic,可转债基础信息,债券专题,可转债基础信息,,out_of_scope,out_of_scope_bonds_not_in_universe
cb_factor_pro,可转债技术面因子(专业版）,债券专题,可转债技术面因子(专业版）,,out_of_scope,out_of_scope_bonds_not_in_universe
cb_rate,可转债票面利率,债券专题,可转债票面利率,,out_of_scope,out_of_scope_bonds_not_in_universe
cb_daily,可转债行情,债券专题,可转债行情,,out_of_scope,out_of_scope_bonds_not_in_universe
cb_call,可转债赎回信息,债券专题,可转债赎回信息,,out_of_scope,out_of_scope_bonds_not_in_universe
bond_blk,大宗交易,债券专题,大宗交易,,out_of_scope,out_of_scope_bonds_not_in_universe
bond_blk_detail,大宗交易明细,债券专题,大宗交易明细,,out_of_scope,out_of_scope_bonds_not_in_universe
bc_otcqt,柜台流通式债券报价,债券专题,柜台流通式债券报价,,out_of_scope,out_of_scope_bonds_not_in_universe
bc_bestotcqt,柜台流通式债券最优报价,债券专题,柜台流通式债券最优报价,,out_of_scope,out_of_scope_bonds_not_in_universe
fund_nav,基金净值,公募基金,基金净值,,out_of_scope,out_of_scope_funds_not_in_universe
fund_div,基金分红,公募基金,基金分红,,out_of_scope,out_of_scope_funds_not_in_universe
fund_basic,基金列表,公募基金,基金列表,market_capital_flow,covered,Used by _emit_etf_inflow to select A-share ETFs for market-level flow
fund_company,基金管理人,公募基金,基金管理人,,out_of_scope,out_of_scope_funds_not_in_universe
fund_manager,基金经理,公募基金,基金经理,,out_of_scope,out_of_scope_funds_not_in_universe
fx_obasic,外汇基础信息（海外）,外汇数据,外汇基础信息（海外）,,out_of_scope,out_of_scope_fx_not_in_universe
fx_daily,外汇日线行情,外汇数据,外汇日线行情,,out_of_scope,out_of_scope_fx_not_in_universe
irm_qa_sh,上证e互动问答,大模型语料专题数据,上证e互动问答,investor_relations_qa,covered,
irm_qa_sz,深证易互动问答,大模型语料专题数据,深证易互动问答,investor_relations_qa,covered,
cn_cpi,居民消费价格指数（CPI）,宏观经济,国内宏观,macro,covered,
cn_ppi,工业生产者出厂价格指数（PPI）,宏观经济,国内宏观,macro,covered,
hibor,Hibor利率,宏观经济,国内宏观,macro,covered,
shibor_lpr,LPR贷款基础利率,宏观经济,国内宏观,macro,covered,
libor,Libor利率,宏观经济,国内宏观,macro,covered,
shibor,Shibor利率,宏观经济,国内宏观,macro,covered,
shibor_quote,Shibor报价数据,宏观经济,国内宏观,macro,covered,
wz_index,温州民间借贷利率,宏观经济,国内宏观,macro,covered,
cn_gdp,国内生产总值（GDP）,宏观经济,国内宏观,macro,covered,
cn_pmi,采购经理指数（PMI）,宏观经济,国内宏观,macro,covered,
sf_month,社融增量（月度）,宏观经济,国内宏观,macro,covered,
cn_m,货币供应量（月）,宏观经济,国内宏观,macro,covered,
us_trycr,国债实际收益率曲线利率,宏观经济,国际宏观,macro,covered,
us_tycr,国债收益率曲线利率,宏观经济,国际宏观,macro,covered,
us_tltr,国债长期利率,宏观经济,国际宏观,macro,covered,
us_trltr,国债长期利率平均值,宏观经济,国际宏观,macro,covered,
us_tbr,短期国债利率,宏观经济,国际宏观,macro,covered,
ci_index_member,中信行业成分,指数专题,中信行业成分,sector_constituents,covered,
ci_daily,中信行业指数日行情,指数专题,中信行业指数日行情,sector_constituents,covered,
index_global,国际主要指数,指数专题,国际主要指数,market_index,covered,
index_dailybasic,大盘指数每日指标,指数专题,大盘指数每日指标,market_index,covered,
index_weekly,指数周线行情,指数专题,指数周线行情,market_index,covered,
index_basic,指数基本信息,指数专题,指数基本信息,market_index,covered,
idx_factor_pro,指数技术面因子(专业版),指数专题,指数技术面因子(专业版),technical_factors,covered,
index_monthly,指数月线行情,指数专题,指数月线行情,market_index,covered,
daily_info,沪深市场每日交易统计,指数专题,沪深市场每日交易统计,market_index,covered,
sz_daily_info,深圳市场每日交易情况,指数专题,深圳市场每日交易情况,market_index,covered,
index_classify,申万行业分类,指数专题,申万行业分类,sector_constituents,covered,
index_member_all,申万行业成分（分级）,指数专题,申万行业成分（分级）,sector_constituents,covered,
sw_daily,申万行业指数日行情,指数专题,申万行业指数日行情,sector_constituents,covered,
opt_basic,期权合约信息,期权数据,期权合约信息,,out_of_scope,out_of_scope_options_handled_by_fmp_futu
trade_cal,交易日历,期货数据,交易日历,trading_calendar,covered,
fut_basic,合约信息,期货数据,合约信息,,out_of_scope,out_of_scope_futures_not_in_universe
fut_daily,日线行情,期货数据,日线行情,,out_of_scope,out_of_scope_futures_not_in_universe
fut_mapping,期货主力与连续合约,期货数据,期货主力与连续合约,,out_of_scope,out_of_scope_futures_not_in_universe
fut_weekly_detail,期货主要品种交易周报,期货数据,期货主要品种交易周报,,out_of_scope,out_of_scope_futures_not_in_universe
hk_tradecal,港股交易日历,港股数据,港股交易日历,,out_of_scope,out_of_scope_HK_handled_by_futu
hk_income,港股利润表,港股数据,港股利润表,,out_of_scope,out_of_scope_HK_handled_by_futu
hk_basic,港股基础信息,港股数据,港股基础信息,,out_of_scope,out_of_scope_HK_handled_by_futu
hk_cashflow,港股现金流量表,港股数据,港股现金流量表,,out_of_scope,out_of_scope_HK_handled_by_futu
hk_balancesheet,港股资产负债表,港股数据,港股资产负债表,,out_of_scope,out_of_scope_HK_handled_by_futu
sge_basic,上海黄金基础信息,现货数据,上海黄金基础信息,,out_of_scope,out_of_scope_spot_gold_not_in_universe
sge_daily,上海黄金现货日行情,现货数据,上海黄金现货日行情,,out_of_scope,out_of_scope_spot_gold_not_in_universe
us_tradecal,美股交易日历,美股数据,美股交易日历,,out_of_scope,out_of_scope_US_handled_by_fmp
us_income,美股利润表,美股数据,美股利润表,,out_of_scope,out_of_scope_US_handled_by_fmp
us_basic,美股基础信息,美股数据,美股基础信息,,out_of_scope,out_of_scope_US_handled_by_fmp
us_cashflow,美股现金流量表,美股数据,美股现金流量表,,out_of_scope,out_of_scope_US_handled_by_fmp
us_balancesheet,美股资产负债表,美股数据,美股资产负债表,,out_of_scope,out_of_scope_US_handled_by_fmp
slb_len_mm,做市借券交易汇总(停）,股票数据,两融及转融通,margin_trading,covered,
margin_detail,融资融券交易明细,股票数据,两融及转融通,margin_trading,covered,
margin,融资融券交易汇总,股票数据,两融及转融通,margin_trading,covered,
slb_len,转融资交易汇总,股票数据,两融及转融通,margin_trading,covered,
block_trade,大宗交易,股票数据,参考数据,block_trade,covered,
top10_holders,前十大股东,股票数据,参考数据,institutional_holdings,covered,Actual code path in mvp20/sources/tushare_source.py
stk_holdernumber,股东人数,股票数据,参考数据,holder_count,covered,
stk_holdertrade,股东增减持,股票数据,参考数据,institutional_holdings,covered,
pledge_detail,股权质押明细数据,股票数据,参考数据,equity_pledge,covered,
pledge_stat,股权质押统计数据,股票数据,参考数据,equity_pledge,covered,
repurchase,股票回购,股票数据,参考数据,buyback,covered,
share_float,限售股解禁,股票数据,参考数据,share_unlock,covered,
new_share,IPO新股上市,股票数据,基础数据,ipo_calendar,covered,
stock_st,ST股票列表,股票数据,基础数据,risk_warning,covered,
st,ST风险警示板股票,股票数据,基础数据,risk_warning,covered,
stock_company,上市公司基本信息,股票数据,基础数据,company_profile,covered,
stk_managers,上市公司管理层,股票数据,基础数据,company_profile,covered,
trade_cal,交易日历,股票数据,基础数据,trading_calendar,covered,
bse_mapping,北交所新旧代码对照,股票数据,基础数据,trading_calendar,covered,
stock_hsgt,沪深港通股票列表,股票数据,基础数据,cross_border_flow,covered,
stock_basic,股票列表,股票数据,基础数据,company_profile,covered,
bak_basic,股票历史列表,股票数据,基础数据,trading_calendar,covered,
namechange,股票曾用名,股票数据,基础数据,trading_calendar,covered,
dc_hot,东方财富App热榜,股票数据,打板专题数据,sentiment_hot_list,covered,
dc_daily,东财概念和行业指数行情,股票数据,打板专题数据,sector_constituents,covered,
ths_hot,同花顺App热榜数,股票数据,打板专题数据,sentiment_hot_list,covered,
ths_daily,同花顺概念和行业指数行情,股票数据,打板专题数据,sector_constituents,covered,
limit_list_ths,同花顺涨跌停榜单,股票数据,打板专题数据,limit_up_down,covered,
ths_member,同花顺行业概念成分,股票数据,打板专题数据,sector_constituents,covered,
ths_index,同花顺行业概念板块,股票数据,打板专题数据,sector_constituents,covered,
hm_list,市场游资最全名录,股票数据,打板专题数据,dragon_tiger_list,covered,
top_list,龙虎榜每日明细,股票数据,打板专题数据,dragon_tiger_list,covered,Actual code path in mvp20/sources/tushare_source.py
kpl_list,榜单数据（开盘啦）,股票数据,打板专题数据,dragon_tiger_list,covered,
limit_cpt_list,涨停最强板块统计,股票数据,打板专题数据,limit_up_down,covered,
limit_step,涨停股票连板天梯,股票数据,打板专题数据,limit_up_down,covered,
limit_list_d,涨跌停和炸板数据,股票数据,打板专题数据,limit_up_down,covered,
hm_detail,游资交易每日明细,股票数据,打板专题数据,dragon_tiger_list,covered,
tdx_index,通达信板块信息,股票数据,打板专题数据,sector_constituents,covered,
tdx_member,通达信板块成分,股票数据,打板专题数据,sector_constituents,covered,
tdx_daily,通达信板块行情,股票数据,打板专题数据,sector_constituents,covered,
kpl_concept,题材数据（开盘啦）,股票数据,打板专题数据,limit_up_down,covered,
stk_ah_comparison,AH股比价,股票数据,特色数据,ah_premium,covered,
report_rc,券商盈利预测数据,股票数据,特色数据,analyst_estimates,covered,
stk_surv,机构调研数据,股票数据,特色数据,institutional_holdings,covered,
cyq_perf,每日筹码及胜率,股票数据,特色数据,chip_distribution,covered,
hk_hold,沪深股通持股明细,股票数据,特色数据,cross_border_flow,covered,
stk_nineturn,神奇九转指标,股票数据,特色数据,technical_factors,covered,
stk_factor_pro,股票技术面因子(专业版）,股票数据,特色数据,technical_factors,covered,
daily,历史日线,股票数据,行情数据,price_daily,covered,
weekly,周线行情,股票数据,行情数据,price_daily,covered,
bak_daily,备用行情,股票数据,行情数据,price_daily,covered,
monthly,月线行情,股票数据,行情数据,price_daily,covered,
daily_basic,每日指标,股票数据,行情数据,price_daily,covered,
stk_limit,每日涨跌停价格,股票数据,行情数据,limit_up_down,covered,
ggt_daily,港股通每日成交统计,股票数据,行情数据,cross_border_flow,covered,
ggt_monthly,港股通每月成交统计,股票数据,行情数据,cross_border_flow,covered,
express,业绩快报,股票数据,财务数据,earnings_calendar,covered,
forecast,业绩预告,股票数据,财务数据,earnings_calendar,covered,
income,利润表,股票数据,财务数据,fundamentals,covered,Actual code path in mvp20/sources/tushare_source.py
balancesheet,资产负债表,股票数据,财务数据,fundamentals,covered,Actual code path in mvp20/sources/tushare_source.py
cashflow,现金流量表,股票数据,财务数据,fundamentals,covered,Actual code path in mvp20/sources/tushare_source.py
fina_indicator,财务指标数据,股票数据,财务数据,fundamentals,covered,Actual code path in mvp20/sources/tushare_source.py
fina_mainbz,主营业务构成,股票数据,财务数据,fundamentals,covered,
dividend,分红送股数据,股票数据,财务数据,dividends,covered,
disclosure_date,财报披露日期表,股票数据,财务数据,earnings_calendar,covered,
fund_share,基金份额,公募基金,基金份额,market_capital_flow,covered,Used by _emit_etf_inflow to derive ETF share-flow proxy
moneyflow,个股资金流向,股票数据,资金流向数据,capital_flow,covered,
moneyflow_dc,个股资金流向（DC）,股票数据,资金流向数据,capital_flow,covered,
moneyflow_ths,个股资金流向（THS）,股票数据,资金流向数据,capital_flow,covered,
moneyflow_mkt_dc,大盘资金流向（DC）,股票数据,资金流向数据,market_capital_flow,covered,
moneyflow_cnt_ths,板块资金流向（THS),股票数据,资金流向数据,market_capital_flow,covered,
moneyflow_hsgt,沪深港通资金流向,股票数据,资金流向数据,cross_border_flow,covered,
moneyflow_ind_ths,行业资金流向（THS）,股票数据,资金流向数据,market_capital_flow,covered,
