provider,source_interface_id,doc_api,label,level1,level2,level3,level4,doc_url,storage_mode,split_by_symbol,access_status,access_reason,completeness_status,check_confidence
tushare,etf_share_size,etf_share_size,ETF份额规模,ETF专题,ETF份额规模,,,https://tushare.pro/document/2?doc_id=408,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,etf_index,etf_index,ETF基准指数,ETF专题,ETF基准指数,,,https://tushare.pro/document/2?doc_id=386,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,etf_basic,etf_basic,ETF基本信息,ETF专题,ETF基本信息,,,https://tushare.pro/document/2?doc_id=385,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,fund_daily,fund_daily,ETF日线行情,ETF专题,ETF日线行情,,,https://tushare.pro/document/2?doc_id=127,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,repo_daily,repo_daily,债券回购日行情,债券专题,债券回购日行情,,,https://tushare.pro/document/2?doc_id=256,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,eco_cal,eco_cal,全球财经事件,债券专题,全球财经事件,,,https://tushare.pro/document/2?doc_id=233,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,cb_basic,cb_basic,可转债基础信息,债券专题,可转债基础信息,,,https://tushare.pro/document/2?doc_id=185,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,cb_factor_pro,cb_factor_pro,可转债技术面因子(专业版）,债券专题,可转债技术面因子(专业版）,,,https://tushare.pro/document/2?doc_id=392,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,cb_rate,cb_rate,可转债票面利率,债券专题,可转债票面利率,,,https://tushare.pro/document/2?doc_id=305,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,cb_daily,cb_daily,可转债行情,债券专题,可转债行情,,,https://tushare.pro/document/2?doc_id=187,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,cb_call,cb_call,可转债赎回信息,债券专题,可转债赎回信息,,,https://tushare.pro/document/2?doc_id=269,by_symbol,true,available,available_nonempty,未见明显遗漏,medium
tushare,bond_blk,bond_blk,大宗交易,债券专题,大宗交易,,,https://tushare.pro/document/2?doc_id=271,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,bond_blk_detail,bond_blk_detail,大宗交易明细,债券专题,大宗交易明细,,,https://tushare.pro/document/2?doc_id=272,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,bc_otcqt,bc_otcqt,柜台流通式债券报价,债券专题,柜台流通式债券报价,,,https://tushare.pro/document/2?doc_id=322,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,bc_bestotcqt,bc_bestotcqt,柜台流通式债券最优报价,债券专题,柜台流通式债券最优报价,,,https://tushare.pro/document/2?doc_id=323,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,fund_nav,fund_nav,基金净值,公募基金,基金净值,,,https://tushare.pro/document/2?doc_id=119,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,fund_div,fund_div,基金分红,公募基金,基金分红,,,https://tushare.pro/document/2?doc_id=120,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,fund_basic,fund_basic,基金列表,公募基金,基金列表,,,https://tushare.pro/document/2?doc_id=19,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,fund_company,fund_company,基金管理人,公募基金,基金管理人,,,https://tushare.pro/document/2?doc_id=118,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,fund_manager,fund_manager,基金经理,公募基金,基金经理,,,https://tushare.pro/document/2?doc_id=208,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,fund_portfolio,fund_portfolio,基金持仓,公募基金,基金持仓,,,https://tushare.pro/document/2?doc_id=121,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,fx_obasic,fx_obasic,外汇基础信息（海外）,外汇数据,外汇基础信息（海外）,,,https://tushare.pro/document/2?doc_id=178,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,fx_daily,fx_daily,外汇日线行情,外汇数据,外汇日线行情,,,https://tushare.pro/document/2?doc_id=179,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,irm_qa_sh,irm_qa_sh,上证e互动问答,大模型语料专题数据,上证e互动问答,,,https://tushare.pro/document/2?doc_id=366,all_csv,false,available,confirmed_by_raw_fetch,未见明显遗漏,medium
tushare,irm_qa_sz,irm_qa_sz,深证易互动问答,大模型语料专题数据,深证易互动问答,,,https://tushare.pro/document/2?doc_id=367,all_csv,false,available,confirmed_by_raw_fetch,未见明显遗漏,medium
tushare,cn_cpi,cn_cpi,居民消费价格指数（CPI）,宏观经济,国内宏观,价格指数,居民消费价格指数（CPI）,https://tushare.pro/document/2?doc_id=228,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,cn_gdp,cn_gdp,国内生产总值（GDP）,宏观经济,国内宏观,国民经济,国内生产总值（GDP）,https://tushare.pro/document/2?doc_id=227,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,cn_m,cn_m,货币供应量（月）,宏观经济,国内宏观,金融,货币供应量,https://tushare.pro/document/2?doc_id=242,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,cn_pmi,cn_pmi,采购经理指数（PMI）,宏观经济,国内宏观,景气度,采购经理指数（PMI）,https://tushare.pro/document/2?doc_id=325,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,cn_ppi,cn_ppi,工业生产者出厂价格指数（PPI）,宏观经济,国内宏观,价格指数,工业生产者出厂价格指数（PPI）,https://tushare.pro/document/2?doc_id=245,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,hibor,hibor,Hibor利率,宏观经济,国内宏观,利率数据,Hibor利率,https://tushare.pro/document/2?doc_id=153,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,libor,libor,Libor利率,宏观经济,国内宏观,利率数据,Libor利率,https://tushare.pro/document/2?doc_id=152,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,sf_month,sf_month,社融增量（月度）,宏观经济,国内宏观,金融,社会融资,https://tushare.pro/document/2?doc_id=310,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,shibor,shibor,Shibor利率,宏观经济,国内宏观,利率数据,Shibor利率,https://tushare.pro/document/2?doc_id=149,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,shibor_lpr,shibor_lpr,LPR贷款基础利率,宏观经济,国内宏观,利率数据,LPR贷款基础利率,https://tushare.pro/document/2?doc_id=151,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,shibor_quote,shibor_quote,Shibor报价数据,宏观经济,国内宏观,利率数据,Shibor报价数据,https://tushare.pro/document/2?doc_id=150,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,wz_index,wz_index,温州民间借贷利率,宏观经济,国内宏观,利率数据,温州民间借贷利率,https://tushare.pro/document/2?doc_id=173,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,us_tbr,us_tbr,短期国债利率,宏观经济,国际宏观,美国利率,短期国债利率,https://tushare.pro/document/2?doc_id=221,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,us_tltr,us_tltr,国债长期利率,宏观经济,国际宏观,美国利率,国债长期利率,https://tushare.pro/document/2?doc_id=222,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,us_trltr,us_trltr,国债长期利率平均值,宏观经济,国际宏观,美国利率,国债长期利率平均值,https://tushare.pro/document/2?doc_id=223,all_csv,false,available,points_within_account,未见明显遗漏,medium
